,en,zh
EFFECT_ADD_CHANCE_DEAL_DMG_WHEN_DEATH,{0} ({1}) chance to deal {2} ({3}) damage to a random enemy when an enemy dies,敌人死亡时有{0}（{1}）概率对随机1名敌人造成{2}（{3}）伤害
LEVELS,levels,等级
EFFECT_ADD_STAT_CAP,{2} has a cap +{3} {2} cap for every {1} {0} [{4}],"{2}存在上限，每{1}{0}增加{3}{2}上限[{4}]"
EFFECT_RANDOM_STAT_ON_LEVEL_UP_NO_ZERO,{0} to {1} {2} on level up (excluding 0),升级时有{0}至{1}{2}（不包含0）
EFFECT_RANDOM_STAT_ON_LEVEL_UP_FROM_GAIN_NO_ZERO,On level up gain {0} to {1} {2} (excluding 0) effect increases for every {4} {3} [{5}],"升级时有{0}至{1}{2}（不包含0，每{4}{3}效果升级）[{5}]"
EFFECT_RANDOM_STAT_ON_LEVEL_UP,{0} to {1} {2} on level up,升级时有{0}至{1}{2}
EFFECT_ADD_STAT_AFTER_REMOVE_CHANGE,{3} {2} permanently for every {1} {0} lost [{5}],每损失{1}{0}时永久增加{3}{2}[{5}]
EFFECT_ADD_GAIN_STAT_AFTER_REMOVE_CHANGE,{1} {0} grants +{2} Modification Increase {3} permanently [{5}],每损失{1}{0}时永久增加{2}的修改增加{3}[{5}]
EFFECT_ADD_GAIN_STAT_AFTER_REMOVE_CHANGE_WAVE_MAX,{1} {0} grants +{2} Modification Increase {3} permanently (Max {4} per wave) [{5}],"每损失{1}{0}时永久增加{2}的修改增加{3}，每波上限{4}[{5}]"
EFFECT_RANDOM_SHOP_ITEM_COUNT_PRICE,"Removes {1} to {2} items in the shop upon entering. Each removed item makes the remaining items cost {3}, and the lockable item cap is {4}","商店道具数随机减少{1}至{2}每减少一个道具剩余的道具{3}道具价格，但是可锁定道具上限为{4}"
EFFECT_GOLD_LOW_SET_STAT_SHOP,"When lacking materials, use {1} substitute materials to purchase items ({1} replaces {0} materials)",材料不足时使用{1}替代材料购买道具（{1}替代{0}材料）
EFFECT_THE_DESPISED_NO_SHOP,"Everyone hates you, so the shop will be empty",你被所有人厌恶商店不会有任何物品
EFFECT_CAN_ALL_DROP_BOX,"All fruit drop as Crates, with a {0} ({1}) chance to drop as Red Crates",所有果子全部掉落为箱子有{0}（{1}）概率掉落为红箱子
EFFECT_WAVE_END_COST_GOLD_GET_STAT_OR_WEAPON,"Picking up a Crate costs {0} Materials (only heals if lacking Materials). Material cost scales with waves. When weapons can no longer be upgraded, acquiring weapons grants {1} random stat instead",每次捡起箱子需花费{0}材料获取箱子（材料不足时只回复）并且获取武器全部无法提升后随机获取{1}属性，花费材料随波次膨胀
EFFECT_WAVE_END_NOT_PICK_CONSUMABLE,Consumables are not automatically picked up at the end of a wave,波次结束时不会自动捡起消耗品
EFFECT_CONSUMABLE_STAT,"{0}{1} when picking up a consumable",捡起一个消耗品时永久{0}{1}
EFFECT_RICE,Fruit Pilaf,水果焖饭
EFFECT_PICKE_CONSUMABLE_DROP_STRUCTURE_GAIN,"When picking up a consumable, spawns {0} (+{2}) {3} dealing {4} ({5}) damage in an area",当捡起消耗品时产生{0}（{2}）个{3}，对一块区域造成{4}（{5}）伤害
EFFECT_STAT_STOP,"Buy items with {1} instead of materials ({1} replaces {0} materials)",使用{1}替代材料购买道具（{1}替代{0}材料）
EFFECT_STAT_HIT_PROTECTION,"+1 hit protection for every {0} {1} [{2}]",每持有{0}点{1}获取一次抵消伤害的机会[{2}]
EFFECT_REGEN_HIT_PROTECTION,"{0} ({2}) chance to recover 1 Hit Protection every {1} seconds",每{1}秒有{0}（{2}）概率回复一次抵消伤害的机会
EFFECT_TEMP_ON_HIT_PROTECTION,"{0} {1} when negating damage until the end of the wave","抵消伤害一次伤害时{0}{1}，直至敌袭结束"
EFFECT_APPLY_ITEM_REVERSAL,"When picking up an item, removes {1}. Effects are inverted",获取道具时将扣除{1}的效果改为增加{1}
EFFECT_STATS_BUY_ITEM,"When purchasing substitute materials, gain {0}{1}",替代材料购买时增加{0}{1}
EFFECT_TURRET_PRIORITY_ATTACK_HIGHEST_HP,"Structures prioritize attacking the target with the highest health within range",构筑物优先攻击范围内生命值最高的目标
EFFECT_STRUCTURE_ADD_RANGE,"Structure attack range is modified by {1}",构筑物攻击范围将受到{1}加成
EFFECT_TURRET_COPY,"Structures have a {0} ({2}) chance to copy themselves upon killing a target",构筑物击杀锁定目标后有{0}（{2}）概率复制自身
WOOD_PICKAXE,Wood PickAxe,木镐
EFFECT_WOOD_CAN_DROP_ITEM,Can mine stone,可以挖掘石头
EFFECT_MINECRAFT,Generating world,世界生成中
ITEM_OAK_LOG,Oak Log,橡树原木
ITEM_COBBLESTONE,Cobblestone,圆石
ITEM_STICK,Stick,木棍
STONE_PICKAXE,Stone Pickaxe,石镐
EFFECT_STONE_CAN_DROP_ITEM,"Can mine stone, iron ore, lapis lazuli",可以挖掘石头，铁矿，青金石
ITEM_IRON_INGOT,Iron Ingot,铁锭
IRON_PICKAXE,Iron Pickaxe,铁镐
EFFECT_IRON_CAN_DROP_ITEM,"Can mine stone, iron ore, lapis lazuli, emerald, diamond",可以挖掘石头，铁矿，青金石，绿宝石，钻石
ITEM_DIAMOND,Diamond,钻石
DIAMOND_PICKAXE,Diamond Pickaxe,钻镐
EFFECT_DIAMOND_CAN_DROP_ITEM,"Can mine stone, iron ore, lapis lazuli, emerald, diamond, obsidian",可以挖掘石头，铁矿，青金石，绿宝石，钻石，黑曜石
ITEM_OBSIDIAN,Obsidian,黑曜石
ITEM_ENCHANTING_TABLE,Enchanting Table,附魔台
EFFECT_RANDOM_CURSE_NEED_ITEM,"When entering the shop, consumes level {2} and {0} {1} to randomly curse items and weapons until level and {1} are depleted",进入商店时消耗{2}级与{0}{1}随机诅咒道具与武器至等级与{1}消尽
ITEM_LAPIS_LAZULI,Lapis Lazuli,青金石
EFFECT_LAPIS_LAZULI_CAN_USE,"Seems to be used for enhancing something?",好像可以用来强化什么？
ITEM_EMERALD,Emerald,绿宝石
EFFECT_EMERALD_CAN_USE,"If you find a villager, seems to be usable for trading?",找到村民的话，好像可以用来换点什么？
EFFECT_ITEM_MERGE,"{0} of this item and {2} {1} might be used for something?",{0}个此道具跟{2}个{1}可能可以用点什么东西？
EFFECT_ITEM_MERGE_ONE_FROM,"{0} of this item might be used to craft something?",{0}个此道具可能可以做点什么东西？
EFFECT_APPLY_ITEM_ALL_SATAS_REVERSAL,"When acquiring an item, all effects that decrease primary stats increase them instead",获取道具时将所有扣除主要属性的效果改为增加主要属性
EFFECT_APPLY_NOT_LOSE_HP,"When acquiring an item, ignore effects that cause HP loss per second",获取道具时无视每秒扣血效果
EFFECT_APPLY_ITEM_REVERSAL_HP_START_WAVE,"When acquiring an item, effects that reduce HP at the start of a wave increase it instead",获取道具时将从波次开始减少血量的效果改为从波次开始增加血量
EFFECT_APPLY_ITEM_NOT_NO_HEAL,"When acquiring an item, ignore effects that disable healing",获取道具时无视无法治疗效果
EFFECT_NOT_MOVING_EXPLOSION_TO_CLEAN_UP_ROOM,"When standing still for more than {4} seconds, explode dealing {1} ({2}) damage and instantly clear the current wave",当你站立不动超过{4}秒时将会爆炸造成 {1}（{2}）伤害，爆炸后会直接通过当前波次
EFFECT_CAN_ONE_NOT_MOVING_EXPLOSION,"Die instantly if the explosion fails to kill any Boss on the field",爆炸后若无法杀死场上的 Boss 将直接死亡
EFFECT_NO_PET,"You cannot summon pets",你无法召唤宠物
EFFECT_ALL_WAVE_ELITES_SPAWN,"+1 extra Boss spawns in all waves",波次开始额外生成一个随机 Boss
EFFECT_BOSS_DIED_RESPAWN,"When a Boss dies, it respawns with {1} increased all stats",Boss 死亡后将重生并且各向属性强化 {1}
EFFECT_ITEM_BOUGHT_SPAWN_BOSS,"Buying {0} adds a {1} (+{2} per {0}) chance to spawn +1 extra Boss in the next wave",购买{0}后下场敌袭{1}（+{2} {0}数量）概率额外生成一个 Boss
EFFECT_APPLY_NOT_EXTRA_ENEMIES,"When acquiring an item, ignore effects that spawn special enemies in the next wave",获取道具时无视下场敌袭出现特殊怪效果
EFFECT_KILLED_ALL_BOSS_WAVE_END,"Killing all Bosses in the wave instantly clears the current wave",杀死波次所有 Boss 时将直接通过当前波次
EFFECT_ADD_XP_GOLD_FROM_WAVE_TIME,"Clearing a wave grants Materials and XP based on remaining seconds: {0} ({1}) per second",通过波次时按剩余秒数获取材料与经验，每秒获取{0}（{1}）
EFFECT_WEAPON_KILLED_LOOT,"Grants a Crate every {0} kills (+{1} kills required per wave, up to {2} kills)",每击杀{0}敌人获取一个箱子，每波增加{1}所需击杀数（上限{2}击杀数）
LOOT_BOX,"Crates Acquired: {0}",获取到的箱子：{0}
EFFECT_AUTO_OPEN_BOX,"You automatically collect items from Crates",你将自动获取箱子中的道具
AUTO_OPEN_BOX,Crates Acquired: {0},自动获取到的箱子：{0}
EFFECT_CHANCE_APPLY_ITEM_NOT_ADD_ALL_DEBUFF_FROM_BOX,"When acquiring an item from a Crate, {0} chance to ignore all negative effects",从箱子获取道具时有{0}概率无视道具所有负面效果
EFFECT_PICKED_UP_CONSUMABLE_ADD_SIZE,"When you pick up a Consumable, your character and weapons increase in size by {0} until the end of the wave",当捡起消耗品时你的角色与武器将放大{0}，直至敌袭结束
EFFECT_BOX_STAT,"{0}{1} when picking up a crate",捡起一个箱子时永久{0}{1}
EFFECT_APPLY_ITEM_NOT_ALL_DEBUFF,"You ignore all negative effects on items (except Shackles)",你无视道具的所有负面效果（除了脚铐）
EFFECT_APPLY_ITEM_ALL_SECONDERY_SATAS_REVERSAL,"When acquiring an item, all effects that decrease secondary stats increase them instead (secondary stats on the stat panel and all enemy-related stats)",获取道具时将所有负面次要属性效果改为正面次要属性效果（面板上的次要属性与所有敌人相关属性）
EFFECT_ADD_STAT_FRON_WAVE_INTENSITY,"Gain {1} {0} when clearing a recent high-quality wave, and {2} {0} when clearing a Horde or Elite wave. Cap: {3} (High-quality wave = twice the total HP per second of the previous three waves)",你通过近期高质量波次时加{1}{0}，通过敌众或精英波次时加{2}{0}，上限：{3}（高质量波次依据为前三波波次总血量/秒数的[color=lime]2[/color]倍）
EFFECT_WAVE_INTENSITY_DAMAGE,Your attacks deal additional damage equal to {0} of the wave's total HP per second,你的攻击附加波次每秒总血量的{0}伤害
EFFECT_ADAPTOR_SMG_0,"During high-quality, Horde or Elite waves, projectiles [color=lime]+2[/color]",高质量波次与敌众或精英波次时，投掷物[color=lime]+2[/color]
EFFECT_NO_KILL_ENEMY,Your {0} attacks cannot kill enemies,你的{0}攻击不会致死
EFFECT_CHARM_ENEMY,Your {1} attacks have a {0} chance to charm enemies on hit; enemies are always charmed at 1 HP (bosses are charmed when below {2} HP),你的{1}击中时有{0}概率魅惑敌人，敌人生命值为1时必定魅惑（Boss 生命值低于{2}时将会魅惑）
EFFECT_SWAP_ENEMIE,"Next wave, {0} will spawn as {1} instead",下一波敌袭时将要生成的{0}改为生成{1}
EFFECT_ITEM_WAVE_END_TEXT,Can be purchased again after it expires,失效后可以重新购买
EFFECT_GUARANTEED_SHOP_ITEMS,Shop guarantees {0} (up to its max count),商店必定出现{0}（不超过其数量上限）
EFFECT_SWAP_ENEMIE_END_TEXT,This forecast is outdated,这个预报已经过时了
EFFECT_CAN_SWAP_LOOTER_ENEMIES,"Forecast has a {0} chance to replace enemies with Loot Aliens",天气预报有{0}概率将敌人替换为战利品外星人
EFFECT_KILL_LOOTER_SPAWN_BOSS,"Killing a Loot Alien has a {0} chance to spawn a Boss",击杀战利品外星人时有{0}概率生成一个 Boss
EFFECT_SWAP_ENEMIE_ALL_WAVE,"In all subsequent waves, {0} will spawn as {1} instead",后续所有敌袭时将要生成的{0}改为生成{1}
EFFECT_GET_FIXED_UPGRADE,"Next wave's upgrade options are fixed to {0}, {1}, {2}, {3}",下一波敌袭的所有升级属性项固定为，{0}，{1}，{2}，{3}
EFFECT_FIXED_UPGRADE_END_TEXT,This forecast is outdated,这个定向训练已经过时了
EFFECT_UP_UPGRADE_DATA_TIER,Next wave's upgrade options are [color=lime]+1[/color] tier higher,下一波敌袭的所有升级属性[color=lime]+1[/color]品阶
EFFECT_UP_UPGRADE_DATA_TIER_END_TEXT,This Clown Fish worked hard all day and is now resting,这条小丑鱼辛苦工作了一天，正在休息
EFFECT_GET_HIGHEST_STAT_FIXED_UPGRADE,Directed Training always includes an upgrade option for your current highest primary stat,定向训练必包含当前最高主要属性的升级项
EFFECT_STAT_GAIN_UP_UPGRADE_DATA_TIER,Next wave's upgrade options have a {0} ({2}) chance to be [color=lime]+1[/color] tier higher,下一波敌袭的所有升级属性有{0}（{2}）概率[color=lime]+1[/color]品阶
EFFECT_WEAPON_KILLED_HEALTH,,击杀敌人时有{0}（{1}）概率治疗所有玩家{2}（{3}）点血量
EFFECT_WEAPON_KILLED_ADD_TEMP_STAT,,击杀敌人时有{0}（{1}）概率增加{2}{3}，直至敌袭结束
